ratio,cent_y,cent_x,eccentricity,solidity,skew_x,skew_y,kurt_x,kurt_y,label
0.9876622620333312,291.883385639588,648.4901078196734,0.8934043171339061,0.9876622620333312,-0.0074669267315153,-0.0126272049339528,-1.2181524888501811,-1.2114503502362386,1
0.9867027190140396,290.5126656391973,648.0340594027532,0.8933216659356964,0.9867027190140396,-0.0041080056162309,0.0075395354385917,-1.2209130843223537,-1.215078250230104,1
0.9885476886263048,289.98143162207214,646.7185355763373,0.893347891516777,0.9885476886263048,0.0006367668140643,0.0112515771321932,-1.2166799579296732,-1.208975205207352,1
0.9835117421595408,290.4805829554171,649.2073744129402,0.8932589776615525,0.9835117421595408,-0.0125211226615572,0.0075748472648387,-1.2222809502224352,-1.2188974261919774,1
0.9866616902780424,290.62355229446405,647.9406162389838,0.8933849872157881,0.9866616902780424,-0.0033923731633032,0.0056621629326142,-1.2213162763729044,-1.2146400168837257,1
0.9816522139635347,291.1488233192442,649.3395716625882,0.8931984018073889,0.9816522139635347,-0.0128687731955709,-0.0020057461655611,-1.2225699613997294,-1.2207513715666372,1
0.973422643627046,288.0541355591601,643.4344903444928,0.893262097280222,0.9791414554918758,0.0002724863668322,0.0230866520673808,-1.2264435748048328,-1.2114229358720656,1
0.9676097981915592,291.8287637037594,658.9693076823121,0.8898401026039585,0.9676751151860248,-0.014388484546224,-0.0008368510908114,-1.2220090034827866,-1.220093923288876,1
0.983899529890096,290.25587601879465,646.8024463178115,0.8934785087174558,0.983899529890096,0.0052236330061284,0.0100339604025076,-1.2247953383721768,-1.2162238771344551,1
0.9810500179997036,291.0145214165261,647.8750516020236,0.8935213298695874,0.9810500179997036,-0.0027652553260495,-0.0005550166113123,-1.2294450123404574,-1.2198083028952775,1
0.9867027190140396,290.5126656391973,648.0340594027532,0.8933216659356964,0.9867027190140396,-0.0041080056162309,0.0075395354385917,-1.2209130843223537,-1.215078250230104,0
0.9454361979166668,638.7913266629481,360.4426842676693,0.8282700362196097,0.9454361979166668,-0.0155102098526571,0.0002351782792499,-1.2404819344552394,-1.2494015046397589,0
0.9421234809027778,640.1804572588196,362.299284431755,0.8309632096836332,0.9421234809027778,-0.029361015245979,-0.0079174223172784,-1.220102674465318,-1.2524712207422692,0
0.9527365451388888,642.1552044207452,359.8285025089916,0.828918738931422,0.9527365451388888,-0.0055759535107397,-0.0166094997790743,-1.2369294300489808,-1.2553621533721346,0
0.9461371527777778,640.3667106289279,359.8675742006514,0.8291565600623856,0.9461371527777778,-0.0115420642329574,-0.0087771173225387,-1.239013342765916,-1.2576872297371475,0
0.9385894097222224,635.6952395595858,359.2492312174279,0.826007143607105,0.9385894097222224,-8.250236481548605e-05,0.0167118778215717,-1.2496842397617656,-1.2350178291598215,0
0.9312044270833332,640.9545361326873,357.5180191517575,0.8288554474890432,0.9312044270833332,0.0139061177726363,-0.0089147037792271,-1.2481218482064025,-1.2553083286816444,0
0.9750737847222222,642.0424736375898,359.8546539836284,0.8268247877177822,0.9750737847222222,-0.0041757267204109,-0.0169156163837602,-1.2279513152473718,-1.227075921021421,0
0.956826171875,639.1904625821179,361.5486697262792,0.8279137642931518,0.9580653362421884,-0.0124633792108947,-0.0025064312548885,-1.2293078092076233,-1.2273525524700677,0
0.9487075917686318,810.0627339019405,450.0143952057018,0.8272251731417629,0.9490143852121272,-0.0096999140685734,-0.0405867910767005,-1.2303732415333386,-1.2200011266835296,0
